,data,rate,genre,DCT,NRG
0,[  240   544   250 ... -1822 -2001 -2103],22050,blues,"[-6764.          8106.41084719 -1074.69611978   604.98293807
  -730.58551151   -45.254834   -1655.20187595  -421.58095502
   236.41448849  -174.24212903]",132560247
1,[  112   141    45 ... -3917 -5733 -4954],22050,blues,"[2350.         -553.95892064  587.25750303   85.1475402   115.20162612
 -128.69343418  -65.52575936 -129.70839859 -139.79837388  -24.55894907]",322883344
2,[  623  1563   964 ...   432 -2173 -4091],22050,blues,"[-1.25960000e+04  1.20217225e+04  1.21136350e+04 -7.56311003e+03
 -4.18453955e+02 -2.26557013e+03 -3.40388181e+03 -8.79671761e+02
  6.84546045e+02  9.12725455e+00]",46778138
3,[ -426 -1003 -1182 ...   324   363   387],22050,blues,"[-2.44780000e+04  2.43303651e+03  2.91671361e+03  1.53931453e+03
  2.51654395e+02  8.01859090e+02  6.35505079e+02  4.23092401e+02
  3.00654395e+02  8.30373097e+00]",169596069
4,[-207 -304 -273 ... 1355 1703 1801],22050,blues,"[-2566.         -2252.12415248  1290.15082725  -108.0678778
   -38.42453848   247.48737342   145.45048282    67.08491776
   134.57546152    33.4327593 ]",278225917
5,[-796 -975 -315 ... 4410 2031  -30],22050,blues,"[  7660.         -11961.47514557   -773.46578696   -391.91634637
   -541.02631123    721.24891681    838.92829038    842.3512879
    388.97368877    262.02714974]",210481657
6,[  5973   9274   6888 ...  -7224 -11886 -14075],22050,blues,"[ 65580.          40488.61865047  11202.71351564 -10742.84770343
  -3902.62051343  -6417.70114605  -4447.90623624  -5360.85120022
  -3762.62051343  -1447.33873243]",211344006
7,[  423   266  -146 ... -1907  1621  5310],22050,blues,"[ 3326.         -2083.19534191  4378.13924078   405.81204201
  -418.41522162  1008.33426997   384.73599827  -757.94837943
  -451.41522162  -114.6298744 ]",141898295
8,[ 373  713  330 ... 3949 5539 5598],22050,blues,"[-3.97900000e+04  2.73356669e+04  2.14329336e+03 -3.83839775e+03
 -1.02778906e+03 -7.45290547e+02 -6.86293360e+02 -4.86137869e+02
  3.72109430e+01 -1.36671204e+02]",58144433
9,[ 1523  2097  1418 ... -1328 -1296 -1226],22050,blues,"[14894.         11020.077975    -593.69264102   323.94727733
 -1065.72903706  -586.89862838  -932.08317655 -1316.83453271
 -1107.72903706  -384.89790827]",415597190
10,[3937 4901 3427 ...  591  505  340],22050,blues,"[69582.          8116.77054678 -1831.4382196   3140.13076924
 -1423.0679775   -173.94826817 -1591.90579111 -2622.8613537
 -3049.0679775   -965.02070559]",227583715
11,[ -839 -1272 -1156 ... -1302 -1406 -1395],22050,blues,"[-24190.           1022.56102079    518.42884889    777.97485212
    845.49415533    162.63455967    152.17269348    959.68217163
    480.49415533    231.15842551]",645520917
