1956,1
1957,1.03
1958,1.06
1959,1.08
1960,1.1
1961,1.11
1962,1.12
1963,1.13
1964,1.15
1965,1.16
1966,1.19
1967,1.23
1968,1.26
1969,1.32
1970,1.41
1971,1.49
1972,1.53
1973,1.59
1974,1.72
1975,1.94
1976,2.07
1977,2.17
1978,2.32
1979,2.53
1980,2.86
1981,3.22
1982,3.51
1983,3.64
1984,3.78
1985,3.93
1986,4.08
1987,4.12
1988,4.31
1989,4.5
1990,4.71
1991,4.99
1992,5.15
1993,5.29
1994,5.44
1995,5.59
1996,5.73
1997,5.92
1998,6.02
1999,6.12
2000,6.28
2001,6.49
2002,6.59
2003,6.75
2004,6.88
2005,7.1
2006,7.34
2007,7.53
2008,7.84
2009,7.84
2010,8.06
2011,8.18
2012,8.42
2013,8.57
2014,8.7
2015,8.76
2016,8.83
2017,9.01
2018,9.2
2019,9.37
2020,9.59
