,Unnamed: 0,freq0,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,freq9,genre
0,0,-673392,-1778795,-483005,134020,41189,28491,-104829,153985,38227,-25115,blues
1,1,-1302842,-265788,388559,18934,-74827,177987,52260,-167151,6267,-6339,blues
2,2,864452,1471189,48933,-239238,239258,18533,35688,-61794,1772,-5467,blues
3,3,3116030,-64192,-162754,52369,-91988,-21801,69136,-21355,-16839,7621,blues
4,4,1190920,1024512,747277,-251050,-31351,-10139,37438,60234,28751,3504,blues
5,5,-442202,-494395,-120079,217365,135136,-500976,138569,170258,-37558,26776,blues
6,6,-473014,2181231,-1790556,-302583,-138672,-50215,-12205,-22217,6574,-8285,blues
7,7,2049584,-1340612,1263369,525539,140932,228930,46720,24002,-10819,-566,blues
8,8,2125784,371926,-217171,148220,-102112,24148,60177,-137293,-16285,-14776,blues
9,9,-3294190,1265701,-98861,451965,36548,-321939,2002,-27142,11140,-7770,blues
10,10,8660732,2736351,45419,127314,-699314,-342156,-172433,84285,-38544,441,blues
11,11,-1308966,60709,112967,-5943,-25575,-12449,4298,-11883,18506,-479,blues
12,12,1004400,-1107444,866028,640928,-262874,-63018,-86141,18921,-42241,3644,blues
13,13,-3159304,-180833,225945,106041,57190,29186,-61576,-6052,-2043,-2554,blues
14,14,546694,-130999,-81043,14361,-64106,20196,-15283,14366,2012,3081,blues
15,15,-1552844,190242,305862,258011,2128,-22005,32840,-36935,4361,-1736,blues
16,16,807156,-466514,-685268,12010,-172185,31746,-32293,-27749,-24670,-4026,blues
17,17,-478436,148692,-300581,-107995,-149194,-17886,-11162,-3392,-2869,-3568,blues
18,18,18538,229955,284668,-106691,-126723,-43965,-37988,-16961,5585,3084,blues
19,19,-1369402,506567,-64594,-31555,-46026,-644,25675,-6229,6090,1894,blues
20,20,-713416,-361286,-268238,5197,-36601,-6771,-29118,44990,9062,-2266,blues
21,21,-612048,1582313,199114,-66232,-63024,-52127,9877,-20549,4253,-11173,blues
22,22,5056152,-216296,109126,655476,59586,48123,-39205,-10676,-3294,-1227,blues
23,23,3382656,-1223571,-1633617,-574981,56846,-12572,-3944,-748,-9690,1210,blues
24,24,-3860410,857424,551239,227964,-54981,5256,-16952,5426,-5151,1167,blues
25,25,-443018,404511,220523,8605,-114736,-38866,-4609,-14993,-76,-3819,blues
26,26,-1400686,672828,87649,89084,83628,57455,25764,36554,12571,7847,blues
27,27,-3400314,-1755672,-323933,717663,308029,34539,65618,24209,21316,6427,blues
28,28,-745360,838849,614902,-4848,143432,11809,29361,6471,5369,824,blues
29,29,-3863818,757433,-206585,65316,-67545,148943,31867,-32115,25545,-10193,blues
