,feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,genre
0,56253,-3651,-44043,11172,-27208,6232,-53679,17539,-42689,19797,-21308,21643,-12932,blues
1,50979,1431,-7582,11487,-20925,20309,-49851,43785,-48720,14490,-23705,10880,-20909,blues
2,57936,8947,-53746,-2001,-40324,26400,-32916,9838,-37865,15796,-33650,6668,-14499,blues
3,50620,26186,-11634,13342,-22849,25120,-25458,30759,-14078,35858,-21046,21634,-11384,blues
4,54914,2841,-68148,-3092,-86403,5322,-52686,-772,-36105,17194,-29819,-1856,-15076,blues
5,54368,6294,-43948,12232,-74351,8539,-69932,3697,-44319,6980,-50712,1986,-20116,blues
6,54455,33365,-69192,17511,-5800,-5587,-79508,-5268,-29823,-1757,-32481,-7441,-23101,blues
7,54067,21806,-51711,29978,-16686,18676,-86556,11642,-47183,-10189,-30922,-9434,-18270,blues
8,56130,-4343,-32623,24351,-18162,19901,-55171,45706,-25180,45490,-20462,7994,-40405,blues
9,51568,-559,-36107,19310,-74873,-8475,-50080,20957,-59269,16449,-22984,13649,-3666,blues
10,54299,27467,-56373,-2415,-74538,-2085,-51439,19313,-21092,5790,-21466,17637,-9383,blues
11,45770,13746,-13451,37404,-26906,34358,-39777,26505,-35219,25779,-34994,2676,-23547,blues
12,53414,14619,-48362,51634,-26836,-16788,-31885,-8404,-80230,8568,-13974,-4719,-34643,blues
13,51787,5794,-11046,29379,-20372,-13455,-46488,9564,-90826,13128,-14231,9309,-33263,blues
14,46804,9594,-15379,34326,-15339,-654,-45102,-454,-63348,40589,17225,20157,-24173,blues
15,50596,7774,-34301,24660,-27448,-7178,-29073,5516,-87294,17196,-980,2339,-42459,blues
16,50566,3422,-27375,15859,-24375,3283,-38170,6773,-65410,41428,-1113,6731,-45233,blues
17,50624,27895,-38923,53795,-4672,-13374,-52374,447,-74372,13649,7704,4622,-36379,blues
18,50030,-1074,-5641,25915,-26540,-4325,-51093,-445,-81619,27451,-2443,28752,-16965,blues
19,51366,22602,-33734,32186,-28688,-18258,-39875,-6616,-71618,27005,-10625,3348,-31710,blues
20,49583,3947,-10930,12442,-31365,-5773,-49633,13990,-64562,29342,-14944,9409,-42326,blues
21,49784,22937,-14214,34160,-9599,6226,-30811,1696,-77948,40544,11053,6027,-30713,blues
22,51674,21199,-29082,35567,-26197,-11035,-26902,7806,-73749,41753,13471,3521,-26289,blues
23,51433,23574,-45159,54945,-26303,-13208,-44208,-23650,-53898,-13690,-16038,5299,-31472,blues
24,49519,26212,-37443,74461,-17418,-12552,-39523,-19051,-43972,-6472,-16559,8068,-23093,blues
25,50210,21597,-36702,68093,-11154,-16140,-44385,-6032,-34800,1205,-22199,16276,-16031,blues
26,48277,17277,-35045,61354,-21223,-1755,-42871,6122,-38506,5032,-1819,4995,-10727,blues
27,52948,20843,-64023,66235,-29590,-23860,-43031,-4881,-33795,-18585,-14372,7014,-468,blues
28,50547,30423,-48395,51637,-2832,-3506,-44312,-12722,-63800,-5006,-26892,1542,-17048,blues
29,52054,1519,20456,6495,-21972,34589,-68911,28574,-75482,18840,-39171,5648,-8641,blues
30,53836,12949,23849,11560,-25622,24652,-72117,42372,-72544,6462,-46575,5904,-32142,blues
31,53485,10803,17506,12464,-20138,26317,-78339,19546,-74337,3886,-42693,5732,-14701,blues
32,48853,11067,16940,18995,-10338,58752,-54288,30899,-47914,17875,-51943,2423,-34471,blues
33,52444,7714,39246,16359,-35058,35311,-71313,30545,-70732,11943,-56815,65,-23556,blues
34,53016,2693,17531,5444,-28983,43537,-69081,29599,-84689,6238,-35389,-1957,-18854,blues
35,55012,9346,11386,-5708,-32762,36759,-71404,34147,-55736,2426,-55312,4704,-29197,blues
36,54546,14517,17957,7125,-33085,24153,-75795,19626,-78836,-11023,-47658,-1,-23319,blues
37,47357,14977,-3527,12131,-26767,44122,-54220,26733,-60570,2629,-33893,-3350,-20283,blues
38,54158,4523,21858,4972,-20423,35824,-75699,18095,-58758,18581,-75348,-13665,-31191,blues
39,48167,24507,17612,10072,-22417,36574,-54077,11157,-62272,818,-44131,10743,-17054,blues
40,58025,-28767,-20456,64234,-33332,29799,-43207,9506,-59095,14764,-37139,679,-20867,blues
41,58158,-31457,-17219,32661,-23782,33787,-26167,38182,-58922,12089,-32483,12314,-4099,blues
42,56858,-36116,-27742,70396,2060,58128,-41881,29294,-35078,7741,-58185,11793,7104,blues
43,56875,-23642,-19268,24659,-19094,41787,-33976,36276,-59362,10003,-56337,1972,-14959,blues
44,58008,-31070,-25756,52314,-16735,52764,-38948,27061,-44244,6048,-48979,18114,4020,blues
45,54627,-22277,-1003,92304,1193,41929,-46087,21901,-44723,-339,-51918,2934,56,blues
46,53132,-24178,3847,66587,-5833,39387,-48147,15166,-51095,-4637,-39751,5137,-3612,blues
47,55514,-22661,-5405,71141,-32138,27113,-54715,5783,-74215,-10097,-50960,16483,9048,blues
48,57672,-20154,-38754,40454,-27727,31028,-40819,28683,-51391,23739,-42417,10290,-16317,blues
49,50045,1102,12804,77320,-21378,46693,-50587,-19734,-65138,342,-57773,-11554,-3948,blues
50,58572,-15890,-44803,37700,-7740,37615,-38706,14704,-44304,15133,-35949,16446,-20284,blues
51,60759,-12128,-60289,45349,-17148,-10615,-42889,27980,-13646,32900,-22330,22944,-34580,blues
52,51704,9988,-48250,68883,-92,10247,-11969,14685,-41122,15412,-21803,5597,-24529,blues
53,60469,-18468,-72421,44208,-23962,2458,-39912,21332,-29546,24453,-19306,22563,-12667,blues
54,60433,-16716,-58109,46661,-1558,20907,-52777,19223,-22045,30569,-19915,24338,-28755,blues
55,58629,-17903,-62881,45711,-11034,7977,-29163,28767,-35971,23880,-21526,23537,-17364,blues
56,55877,-10186,-31675,50746,-10871,20011,-27279,23319,-41209,28206,-30457,10766,-21678,blues
57,58590,-7227,-57422,43711,-5184,29525,-52238,27705,-27231,11138,-23688,17784,-23469,blues
58,58746,-14453,-51755,44224,-25607,-2634,-50750,8092,-55323,16085,-10903,31202,-21481,blues
59,60243,-29287,-49877,60287,-14305,209,-32477,21208,-35471,26447,-26123,13156,-22067,blues
60,59873,-14579,-56742,43379,-3248,29383,-42641,23026,-36449,17349,-21831,21710,-22434,blues
61,61149,-34875,-56338,74897,-54603,31955,-47742,34327,-25832,4674,-34905,11275,-26664,blues
62,57277,-21812,-49506,33940,-64617,32181,-30842,22770,-10604,-49,-29460,22239,-37909,blues
